{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 135, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 135, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 135, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599281, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346713, 'longitude': -8.6599282, 'heading': 135, 'speed': 0.3},
{'latitude': 40.6346721, 'longitude': -8.6599293, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346749, 'longitude': -8.6599334, 'heading': 132, 'speed': 0.6},
{'latitude': 40.6346797, 'longitude': -8.6599403, 'heading': 132, 'speed': 0.6},
{'latitude': 40.6346839, 'longitude': -8.6599466, 'heading': 132, 'speed': 0.6},
{'latitude': 40.6346862, 'longitude': -8.6599504, 'heading': 131, 'speed': 0.3},
{'latitude': 40.6346862, 'longitude': -8.6599508, 'heading': 131, 'speed': 0.3},
{'latitude': 40.6346858, 'longitude': -8.6599508, 'heading': 131, 'speed': 0.3},
{'latitude': 40.6346856, 'longitude': -8.6599509, 'heading': 131, 'speed': 0.3},
{'latitude': 40.6346854, 'longitude': -8.659951, 'heading': 131, 'speed': 0.3},
{'latitude': 40.6346852, 'longitude': -8.6599512, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346851, 'longitude': -8.6599514, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346848, 'longitude': -8.6599516, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346847, 'longitude': -8.6599518, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346845, 'longitude': -8.6599519, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346843, 'longitude': -8.659952, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346842, 'longitude': -8.6599522, 'heading': 132, 'speed': 0.3},
{'latitude': 40.634684, 'longitude': -8.6599523, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346839, 'longitude': -8.6599525, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346837, 'longitude': -8.6599526, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346836, 'longitude': -8.6599527, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346835, 'longitude': -8.6599528, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346834, 'longitude': -8.6599529, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346833, 'longitude': -8.6599531, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346833, 'longitude': -8.6599533, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346832, 'longitude': -8.6599534, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346831, 'longitude': -8.6599535, 'heading': 132, 'speed': 0.3},
{'latitude': 40.634683, 'longitude': -8.6599536, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346829, 'longitude': -8.6599537, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346828, 'longitude': -8.6599537, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346827, 'longitude': -8.6599538, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346827, 'longitude': -8.6599539, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346826, 'longitude': -8.659954, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346825, 'longitude': -8.6599541, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346825, 'longitude': -8.6599542, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346824, 'longitude': -8.6599542, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346824, 'longitude': -8.6599543, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346823, 'longitude': -8.6599544, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346822, 'longitude': -8.6599545, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346822, 'longitude': -8.6599546, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346821, 'longitude': -8.6599547, 'heading': 132, 'speed': 0.3},
{'latitude': 40.634682, 'longitude': -8.6599547, 'heading': 132, 'speed': 0.3},
{'latitude': 40.634682, 'longitude': -8.6599548, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346819, 'longitude': -8.6599548, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346819, 'longitude': -8.6599549, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346819, 'longitude': -8.659955, 'heading': 132, 'speed': 0.3},
{'latitude': 40.6346818, 'longitude': -8.659955, 'heading': 132, 'speed': 0.3},
