40.6007462000,-8.7596874000
40.6002116000,-8.7598390000
40.5993191000,-8.7600196000
40.5978581000,-8.7604549000
40.5965133000,-8.7609858000
40.5948701000,-8.7618091000
40.5940760000,-8.7620970000
40.5927147000,-8.7623915000
40.5921008000,-8.7626810000
40.5908567000,-8.7629411000
40.5899996000,-8.7632638000
40.5891323000,-8.7637636000
40.5885012000,-8.7639230000
40.5871120000,-8.7643706000
40.5855936000,-8.7653721000
40.5853862000,-8.7654529000
40.5846273000,-8.7658708000
40.5842845000,-8.7660095000
40.5837618000,-8.7660872000
40.5829285000,-8.7660889000
40.5809871000,-8.7575024000
40.5804075000,-8.7546280000
40.5803829000,-8.7546106000
40.5788041000,-8.7483125000
40.5779359000,-8.7444471000
40.5782512000,-8.7443800000
40.5783353000,-8.7431624000
40.5782553000,-8.7383639000
40.5782425000,-8.7331164000
40.5780858000,-8.7270573000
40.5778803000,-8.7069556000
40.5779855000,-8.7017099000
40.5780372000,-8.6943851000
40.5780696000,-8.6937253000
40.5780980000,-8.6936683000
40.5780998000,-8.6929751000
40.5781362000,-8.6927620000
40.5781006000,-8.6926753000
40.5778800000,-8.6924482000
40.5778465000,-8.6923430000
40.5778543000,-8.6918203000
40.5779059000,-8.6915535000
40.5779100000,-8.6909543000
40.5780199000,-8.6893335000
40.5779808000,-8.6887650000
40.5779264000,-8.6885349000
40.5779220000,-8.6873561000
40.5778585000,-8.6869757000
40.5778233000,-8.6856873000
40.5778256000,-8.6853901000
40.5780579000,-8.6834819000
40.5766304000,-8.6819967000
40.5753787000,-8.6811674000
40.5740652000,-8.6800574000
40.5733863000,-8.6796788000
40.5722493000,-8.6795375000
40.5706690000,-8.6795051000
40.5696514000,-8.6798856000
40.5685667000,-8.6805850000
40.5678164000,-8.6813070000
40.5668249000,-8.6814429000
40.5662197000,-8.6814446000
40.5654629000,-8.6813171000
40.5650249000,-8.6809952000
40.5645123000,-8.6805099000
40.5633600000,-8.6782463000
40.5624420000,-8.6768580000
40.5645882000,-8.6741430000
40.5654389000,-8.6729910000
40.5661069000,-8.6715968000
40.5674156000,-8.6702044000
40.5675077000,-8.6698578000
40.5675623000,-8.6688774000
40.5680031000,-8.6683292000
40.5681455000,-8.6680835000
40.5683737000,-8.6674726000
40.5684174000,-8.6671535000
40.5684182000,-8.6669050000
40.5683657000,-8.6667778000
40.5681084000,-8.6664860000
40.5677664000,-8.6659733000
40.5674297000,-8.6655616000
40.5668268000,-8.6644278000
40.5667405000,-8.6640890000
40.5667762000,-8.6630104000
40.5666946000,-8.6626505000
40.5667073000,-8.6619579000
40.5666579000,-8.6616296000
40.5664716000,-8.6610813000
40.5663515000,-8.6608311000
40.5658974000,-8.6601240000
40.5657617000,-8.6598284000
40.5657161000,-8.6594580000
40.5657261000,-8.6588202000
40.5656990000,-8.6582198000
40.5656643000,-8.6579401000
40.5655764000,-8.6576424000
40.5656942000,-8.6569268000
40.5659294000,-8.6566786000
40.5669558000,-8.6560273000
40.5670270000,-8.6556527000
40.5672927000,-8.6525291000
40.5675577000,-8.6511717000
40.5675690000,-8.6506036000
